part,chapter,article,name,summ
,,,Обыкновенные доходы,3240559006
1,,,Прямые налоги,250869698
,,,Департаментъ Окладныхъ Сборовъ.,250650816
,1,,"Налоги поземельные, съ недвижимыхъ имуществъ и подати.",85606316
,,1,Государственный поземельный налогъ,20000000
,,2,Разные поземельные сборы,5729168
,,3,Налоги съ недвижимыхъ имуществъ,33489644
,,4,Подымные подати и сборы,2823367
,,5,Кибиточная подать,3588677
,,6,Подать со скота киргизовъ Внутренней Орды и калмыцкаго населенія Астраханской губерніи,318104
,,7,Душевые сборы,34416
,,8,Оброчная подать и платежи переселенцевъ за отведенныя имъ въ безсрочное пользованіе казенныя земли,10080000
,,9,Сборъ съ туземнаго населенія Кавказа и Закавказья взамѣнъ отбыванія воинской повинности,542940
,,10,Государственный квартирный налогъ,9000000
,2,,Государственный промысловый налогъ.,133582500
,,1,Основной промысловый налогъ,47000000
,,2,Прибавочный сборъ съ промысловыхъ свидѣтельствъ на расходы по квартирному довольствію войскъ,1040000
,,3,"Дополнительный промысловый налогъ съ предпріятій, обязанныхъ публичною отчетностью",46000000
,,4,"Дополнительный промысловый налогъ съ предпріятій, не обязанныхъ публичною отчетностью",36500000
,,5,Особые сборы,572500
,,6,Штрафы и пени,2470000
,3,,Сборъ съ доходовъ отъ денежныхъ капиталовъ.,31462000
,,1,Съ доходовъ отъ государственныхъ процентныхъ бумагъ,9793000
,,2,"Съ доходовъ отъ процентныхъ бумагъ, выпущенныхъ частными обществами",11577000
,,3,Съ доходовъ отъ желѣзнодорожныхъ акцій,592000
,,4,Съ доходовъ отъ внесенныхъ въ кредитныя учрежденія вкладовъ на текущій счетъ и другихъ процентныхъ вкладовъ,5600000
,,5,Сборъ съ спеціальныхъ текущихъ счетовъ,2000000
,,6,"Сборъ съ доходовъ отъ денежныхъ капиталовъ, ссужаемыхъ частными лицами и учрежденіями торгово-промышленнымъ предпріятіямъ",1900000
,,,Министерство Юстиціи по тюремной части.,218882
,1,,"Налоги поземельные, съ недвижимыхъ имуществъ и подати.",218882
,,1,Государственный поземельный налогъ,—
,,2,Разные поземельные сборы,—
,,3,Налоги съ недвижимыхъ имуществъ,—
,,4,Подымные подати и сборы,218882
,,5,Кибиточная подать,—
,,6,Подать со скота киргизовъ Внутренней Орды и калмыцкаго населенія Астраханской губерніи,—
,,7,Душевые сборы,—
,,8,Оброчная подать и платежи переселенцевъ за отведенныя имъ въ безсрочное пользованіе казенныя земли,—
,,9,Сборъ съ туземнаго населенія Кавказа и Закавказья взамѣнъ отбыванія воинской повинности,—
,,10,Государственный квартирный налогъ,—
,2,,Государственный промысловый налогъ.,—
,,1,Основной промысловый налогъ,—
,,2,Прибавочный сборъ съ промысловыхъ свидѣтельствъ на расходы по квартирному довольствію войскъ,—
,,3,"Дополнительный промысловый налогъ съ предпріятій, обязанныхъ публичною отчетностью",—
,,4,"Дополнительный промысловый налогъ съ предпріятій, не обязанныхъ публичною отчетностью",—
,,5,Особые сборы,—
,,6,Штрафы и пени,—
,3,,Сборъ съ доходовъ отъ денежныхъ капиталовъ.,—
,,1,Съ доходовъ отъ государственныхъ процентныхъ бумагъ,—
,,2,"Съ доходовъ отъ процентныхъ бумагъ, выпущенныхъ частными обществами",—
,,3,Съ доходовъ отъ желѣзнодорожныхъ акцій,—
,,4,Съ доходовъ отъ внесенныхъ въ кредитныя учрежденія вкладовъ на текущій счетъ и другихъ процентныхъ вкладовъ,—
,,5,Сборъ съ спеціальныхъ текущихъ счетовъ,—
,,6,"Сборъ съ доходовъ отъ денежныхъ капиталовъ, ссужаемыхъ частными лицами и учрежденіями торгово-промышленнымъ предпріятіямъ",—
2,,,Косвенные налоги,671389200
,,,Главное Управленіе Неокладныхъ Сборовъ и Казенной Продажи Питей.,336804200
,4,,Сборы съ питей.,50777000
,,1,Акцизъ съ напитковъ и дрожжей,45000000
,,2,Патентный сборъ,5300000
,,3,Взысканія за нарушеніе постановленій о питейномъ сборѣ,400000
