nn,chapter,article,paragraph,name,summ
,,5,,Канцелярія Оберъ-Прокурора Св Синода:,58845
,,,а, личный составъ,51525
,,,б, канцелярскіе и хозяйственные расходы,7320
,,6,,Контроль при Св Синодѣ:,42373
,,,а, личный составъ,40773
,,,б, канцелярскіе и хозяйственные расходы,1600
,,7,,Московская Св Синода Контора:,10000
,,,а, личный составъ,8721
,,,б, канцелярскіе и хозяйственные расходы,1279
,,8,,Комитеты для цензуры духовныхъ книгъ:,9753
,,,а, личный составъ,8720
,,,б, канцелярскіе и хозяйственные расходы,1033
,,9,,Награды и пособія,18000
,,10,,Содержаніе зданій,10541
,,11,,Училищный Совѣтъ при Св Синодѣ съ Канцеляріею и Статистическимъ Отдѣломъ:,71633
,,,а, личный составъ,66133
,,,б, канцелярскіе и хозяйственные расходы,5500
18,2,,,Содержаніе мѣстныхъ учрежденій,1442183
,,1,,Духовныя консисторіи:,760837
,,,а, личный составъ,666843
,,,б, канцелярскіе и хозяйственные расходы,93994
,,2,,Духовныя правленія и епархіальныя канцеляріи:,11358
,,,а, личный составъ,7558
,,,б, канцелярскіе и хозяйственные расходы,3800
,,3,,Епархіальные архитекторы,6752
,,4,,Управленіе и инспекція церковныхъ школъ:,592631
,,,а, епархіальные наблюдатели,141540
,,,б," уѣздные, окружные и областные наблюдатели",384034
,,,в, вознагражденіе дѣлопроизводителей епархіальныхъ училищныхъ совѣтовъ и наемъ писцовъ,55257
,,,г, вознагражденіе мѣстныхъ дѣятелей по управленію церковными школами,11800
,,5,,Выдачи по мѣстнымъ привилегіямъ службы:,70605
,,,а, путевыя пособія,59000
,,,б, прибавочное жалованье,11273
,,,в, пособія на воспитаніе дѣтей,332
19,3,,,Разные расходы администраціи,169000
,,1,,Путевое довольствіе,167000
,,2,,Въ распоряженіе Оберъ-Прокурора Св Синода на выдачу мелочныхъ пособій,2000
20,4,,,Разные расходы по управленію,15492
,,1,,Въ распоряженіе Св Синода на поддержку разныхъ духовныхъ учрежденій,14536
,,2,,Заготовленіе Св мvра,956
,,,,Духовенство,None
21,5,,,Архіерейскіе дома и каѳедральные соборы,957676
,,1,,Епархіальные преосвященные и викарные епископы,200768
,,2,,Архіерейскіе дома:,264760
,,,а, личный составъ,248610
,,,б, хозяйственные расходы,16150
,,3,,Каѳедральные соборы:,492148
,,,а, личный составъ,392590
,,,б, хозяйственные расходы,99558
22,6,,,Монастыри,439193
,,1,,Мужскіе монастыри,243111
,,2,,Женскіе монастыри,196082
