nn,chapter,article,paragraph,name,summ
,,4,,Хозяйственный Комитетъ:,13242
,,,а, личный составъ,10742
,,,б, канцелярскіе расходы,2500
,,5,,Сенатская типографія:,606135
,,,а, личный составъ,20950
,,,б, операціонные расходы,573185
,,,в, награды и пособія,12000
,,6,,Хозяйственные расходы,123033
,,,,Гражданское управленіе.,None
,,,,Общiе расходы по управленію.,None
149,2,,,Содержаніе центральныхъ учрежденій.,613182
,,1,,"Министръ Юстиціи, его Товарищи и Управляющій Межевою Частью",39151
,,2,,Консультація и чиновники особыхъ порученій при Министрѣ:,34646
,,,а, консультація,24492
,,,б, чиновники особыхъ порученій при Министрѣ,10154
,,3,,Первый Департаментъ:,219399
,,,,личный составъ,219399
,,4,,Второй Департаментъ:,176671
,,,,личный составъ,176671
,,5,,Канцелярскіе и хозяйственные расходы Департаментовъ,92773
,,6,,"Помощникъ, межевые ревизоры и Канцелярія Управляющаго Межевою Частью:",50542
,,,а, личный составъ,40742
,,,б, канцелярскіе и хозяйственные расходы,1200
,,,в, наемъ и содержаніе помѣщенія,8600
149,"2,1",—,,На расходы по напечатанію сводной вѣдомости справокъ о судимости за прежніе годы,50000
150,3,,,Содержаніе мѣстныхъ учрежденій.,101117
,,1,,Московскій архивъ Министерства Юстиціи:,76102
,,,а, личный составъ,58062
,,,б, канцелярскіе и хозяйственные расходы,18040
,,2,,Главный архивъ древнихъ актовъ въ Царствѣ Польскомъ:,25015
,,,а, личный составъ,21215
,,,б, канцелярскіе и хозяйственные расходы,3800
151,4,,,Разные расходы администраціи.,248500
,,1,,Путевое довольствіе,150000
,,2,,Награды и пособія,82500
,,3,,Пособія на воспитаніе дѣтей,16000
,,,,Судъ и тюремная часть.,None
152,5,,,Кассаціонные Департаменты Правительствующаго Сената.,749152
,,1,,Личный составъ,660252
,,2,,Канцелярскіе расходы,88900
153,6,,,Судебныя палаты.,2800055
,,1,,Личный составъ,2390355
,,2,,Канцелярскіе расходы,409700
154,7,,,Окружные суды и городскіе судьи.,26379769
,,1,,Личный составъ:,22927248
,,,а, окружныхъ судовъ,21694436
,,,б, городскихъ судей,1232812
,,2,,Канцелярскіе расходы,3452521
155,8,,,Мировыя судебныя установленія и гминные суды.,6338331
,,1,,Личный составъ:,5489714
,,,а, мировыхъ судебныхъ установленій,4772414
,,,б, гминныхъ судовъ,717300
,,2,,Канцелярскіе расходы:,848617
,,,а, мировыхъ установленій,596817
,,,б, гминныхъ судовъ,251800
156,9,,,Коммерческіе суды.,204250
,,1,,Личный составъ,133297
,,2,,Канцелярскіе и хозяйственные расходы,70953
157,10,,,Общіе расходы судебныхъ установленій.,9328416
,,1,,Наемъ и содержаніе помѣщеній:,1536746
,,,а, наемъ помѣщеній,502472
,,,б, содержаніе ихъ и хозяйственные расходы,1034274
,,2,,"Расходы, сопряженные съ отправленіемъ судебныхъ дѣйствій:",5550524
,,,а, путевое довольствіе,2550000
,,,б," вознагражденіе свидѣтелямъ, экспертамъ и духовенству",2800524
,,,в,печатаніе объявленій и другіе расходы по судебнымъ дѣламъ,200000
,,3,,Содержаніе кандидатовъ на должности по судебному вѣдомству,1075000
,,4,,Выдачи по привилегіямъ службы:,963646
,,,а, путевыя пособія,350000
,,,б, прибавочное жалованье,568902
,,,в, пособія на воспитаніе дѣтей,44744
,,5,,Пособія чинамъ судебныхъ установленій,202500
,,,,Межевая часть.,None
158,11,,,Содержаніе межевыхъ учрежденій.,1473437
,,1,,"Межевая Канцелярія съ чертежной, архивами и межевыми техниками:",214177
,,,а, личный составъ,181819
,,,б," канцелярскіе, хозяйственные и операціонные расходы",32358
,,2,,Межевыя учрежденія въ Кубанской и Терской областяхъ и въ Закавказскомъ краѣ:,393212
,,,а, личный составъ,261892
,,,б," канцелярскіе, хозяйственные и операціонные расходы",131320
,,3,,"Межевые чины, состоящіе при Кавказскомъ военно-народномъ управленіи:",53068
,,,а, личный составъ,20678
,,,б," канцелярскіе, хозяйственные и операціонные расходы",32390
,,4,,Межевыя коммисіи для размежеванія башкирскихъ дачъ:,131717
,,,а, личный составъ,54927
,,,б," канцелярскіе, хозяйственные и операціонные расходы",76790
,,5,,Коммисія для отграниченія земель Забайкальскаго казачьяго войска:,25253
,,,а, личный составъ,14053
,,,б," канцелярскіе, хозяйственные и операціонные расходы",11200
,,6,,Межевые чины при Управленіи Приамурскаго Генералъ-Губернатора:,7225
,,,,личный составъ,7225
,,7,,Губернскія и областныя чертежныя:,543916
,,,а, личный составъ,385958
,,,б," канцелярскіе, чертежные и хозяйственные расходы",113476
,,,в, наемъ помѣщеній для чертежныхъ,44482
,,8,,Наемъ вольной прислуги для землемѣровъ,9287
,,9,,Путевыя и операціонныя издержки землемѣровъ,55390
,,10,,Пособія землемѣрнымъ помощникамъ и чертежникамъ,3383
,,11,,Выдачи но привилегіямъ службы:,36809
,,,а, путевыя пособія,12000
,,,б, прибавочное жалованье,24809
,,,,"Просвѣщенiе, науки и искусства.",None
159,12,,,Содержаніе высшихъ учебныхъ заведеній.,389930
,,1,,Императорское Училище Правовѣдѣнія:,243643
,,,а, личный составъ,57072
,,,б, учебная часть,51800
,,,в, содержаніе учащихся,58038
,,,д,канцелярскіе и хозяйственные расходы,76733
,,2,,Константиновскій Межевой Институтъ:,146287
,,,а, личный составъ,58813
,,,б, учебная часть,8440
,,,в, содержаніе учащихся,38500
,,,г, стипендіи и пособія,2534
,,,д, канцелярскіе и хозяйственные расходы,38000
160,13,,,Содержаніе среднихъ учебныхъ заведеній.,None
,,1,,Землемѣрныя училища:,481839
,,,а, личный составъ,175573
,,,б, учебная часть,22066
,,,г, стипендіи и пособія,128700
,,,д, канцелярскіе и хозяйственные расходы,155500
,,,,Постройка зданiй и пріобрѣтенiе недвижимыхъ имуществъ.,None
161,14,,,Сооруженіе и ремонтъ зданій.,1061190
,,1,,"Постройка зданій, пріобрѣтеніе недвижимыхъ имуществъ, приспособленіе и оборудованіе помѣщеній",849497
,,2,,Ремонтъ,211693
,,,,Пособія и вознагражденiе по разнымъ случаямъ.,None
162,15,,,Пособія по разнымъ случаямъ.,9185
,,1,,Пособіе на содержаніе нѣкоторыхъ мѣстъ,9185
,,,,По тюремной части.,36375574
,,,,Гражданское управленіе.,None
,,,,Общіе расходы по управленiю.,None
163,1,,,Содержаніе центральныхъ учрежденій.,None
,,1,,Главное Тюремное Управленіе:,161396
,,,а, личный составъ,74703
,,,б, канцелярскіе и хозяйственные расходы,37638
,,,в, наемъ и содержаніе помѣщеній,27100
,,,г, награды и пособія,18955
,,,д, пособія на воспитаніе дѣтей,3000
164,2,,,Содержаніе мѣстныхъ учрежденій.,383467
,,1,,Тюремная инспекція:,375467
,,,а, личный составъ,271657
,,,б, канцелярскіе и хозяйственные расходы,102060
,,,в, пособія на воспитаніе дѣтей,1750
,,2,,Выдачи по мѣстнымъ привилегіямъ службы:,8000
,,,а, путевыя пособія,4000
,,,б, прибавочное жалованье,4000
165,3,,,Разные расходы администраціи.,111000
,,1,,Путевое довольствіе,91000
,,2,,Телеграфные расходы,20000
,,,,Судъ и тюремная часть.,None
166,4,,,Управленіе мѣстами заключенія и тюремная стража.,7796687
,,1,,Управленіе мѣстами заключенія:,1668882
,,,а, личный составъ,1273957
,,,б, канцелярскіе и хозяйственные расходы,394925
,,2,,Тюремная стража:,6082805
,,,а, личный составъ,4764805
,,,б, прибавочное жалованье,760000
,,,в, хозяйственные расходы,558000
,,3,,Путевое довольствіе,18000
,,4,,Выдачи по мѣстнымъ привилегіямъ службы:,27000
,,,а, путевыя пособія,15000
,,,б, прибавочное жалованье,6000
,,,в, пособія на воспитаніе дѣтей,6000
167,5,,,Военная стража.,2814782
,,1,,Денежное довольствіе,894010
,,2,,Прочіе виды довольствія,1920772
168,6,,,Содержаніе арестантовъ.,12023870
,,1,,Продовольствіе,6677870
,,2,,Одежда и обувь,2599000
,,3,,Содержаніе и леченіе больныхъ арестантовъ и погребеніе умершихъ,2302000
,,4,,Прочіе хозяйственно - операціонные расходы по содержанію арестантовъ:,445000
,,,а, на хозяйственный бытъ ссыльно-каторжныхъ,50000
,,,б, телефоны и сигнализація,100000
,,,в," публикаціи, арестантскіе билеты, фотографіи",50000
,,,г, баня и стирка бѣлья,125000
,,,д, мелочные расходы,120000
169,7,,,Наемъ и содержаніе тюремныхъ помѣщеній.,4180500
,,1,,Наемъ помѣщеній,620000
,,2,,Содержаніе помѣщеній:,3560500
,,,а, отопленіе и освѣщеніе,2798500
,,,б, содержаніе помѣщеній въ чистотѣ,725000
,,,в, уплата повинностей,12000
,,,г, противопожарныя мѣропріятія,25000
170,8,—,,"Перевозка арестантовъ, конвоя и грузовъ",1400000
171,9,—,,Содержаніе и пересылка арестантовъ въ губерніяхъ привислинскихъ,221922
,,,,Постройка зданій и пріобрѣтеніе недвижимыхъ имуществъ.,None
172,10,,,Сооруженіе и ремонтъ зданій.,7243000
,,1,,"Постройка зданій, пріобрѣтеніе недвижимыхъ имуществъ, приспособленіе и оборудованіе помѣщеній",3500000
,,2,,Ремонтъ,3000000
,,3,,"Строительныя надобности военной стражи, окарауливающей каторжныя тюрьмы",5000
,,4,,"Возвратъ позаимствованій, произведенныхъ на тюремно-строительныя надобности изъ земскихъ штрафныхъ капиталовъ",500000
,,5,,На расширеніе помѣщеній для тюремныхъ мастерскихъ и на устроиство сельско-хозяйственныхъ фермъ,238000
,,,,Пособія и вознагражденiе по разным случаямъ.,None
173,11,,,Пособія по разнымъ случаямъ.,38950
,,1,,Международной тюремной коммисіи,800
,,2,,На содержаніе исправительно-воспитательныхъ заведеній,15000
,,3,,На содержаніе пріютовъ для дѣтей арестантовъ и ссыльныхъ,10000
,,4,,Попечительству Сергіево-Елисаветинскаго пріюта,1150
,,5,,Ссыльно-поселенцамъ и ихъ семействамъ,12000
,,,,МИНИСТЕРСТВО ИНОСТРАННЫХЪ ДѢЛЪ.,7230065
,,,,Гражданское управленіе.,None
,,,,Общіе расходы по управленію.,None
174,1,,,Содержаніе центральныхъ учрежденій.,553508
,,1,,Министръ и Товарищъ Министра,38200
,,2,,"Совѣтъ Министра, Совѣтники и чиновники особыхъ порученій",45253
,,3,,Канцелярія Министерства:,55020
,,,,личный составъ,55020
,,4,,Первый Департаментъ:,63758
,,,,личный составъ,63758
,,5,,Второй Департаментъ:,59827
,,,,личный составъ,59827
,,6,,Департаментъ Личнаго Состава и Хозяйственныхъ Дѣлъ:,49465
,,,,личный составъ,49465
,,7,,Государственный и С.-Петербургскій Главный Архивы:,17698
,,,,личный составъ,17698
,,8,,Московскій Главный Архивъ:,16492
,,,,личный составъ,16492
,,9,,Учебное Отдѣленіе восточныхъ языковъ,18061
,,10,,Литографическое заведеніе Министерства,6578
,,11,,Канцелярскіе и хозяйственные расходы центральныхъ учрежденій,76886
,,12,,Содержаніе и ремонтъ зданій,106270
175,2,,,Содержаніе мѣстныхъ учрежденій.,27650
,,1,,Содержаніе агентовъ по дипломатической части въ Россіи:,27650
,,,а, личный составъ,24650
,,,б, канцелярскіе и хозяйственные расходы,3000
176,3,,,Разные расходы администраціи.,1023000
,,1,,Почтово-телеграфные расходы,420000
,,2,,Путевое довольствіе,532000
,,3,,Награды и пособія,68000
,,4,,Пособія на воспитаніе дѣтей,3000
177,4,,,Разные расходы по управленію.,551811
,,1,,Изданія Министерства Иностранныхъ Дѣлъ,10900
,,2,,Секретные расходы,536411
,,3,,Расходы по изготовленію марокъ для оплаты консульскихъ дѣйствій заграничныхъ установленій Министерства,4500
,,,,Внѣшнія сношенія.,None
178,5,,,Содержаніе дипломатическихъ и консульскихъ учрежденій за границею.,4545603
,,1,,Посольства и миссіи:,2146815
,,,а, личный составъ,2011800
,,,б, канцелярскіе расходы,78250
,,,в," переписчики, переводчики, курьеры и сторожа",56765
,,2,,Консульства и агентства:,1933215
,,,а, личный составъ,1481367
,,,б, канцелярскіе расходы,175200
,,,в," переписчики, переводчики, курьеры и сторожа",276648
,,3,,Нештатные агенты,29000
,,4,,"Наемъ и содержаніе домовъ посольствъ, миссій и консульствъ",436573
,,,,Постройка зданiй и пріобрѣтеніе недвижимыхъ имуществъ.,None
179,6,,,Сооруженіе и ремонтъ зданій.,289434
,,1,,Постройка зданій и пріобрѣтеніе недвижимыхъ имуществъ,83556
,,2,,Ремонтъ,205878
,,,,Пособія и вознагражденiе по разнымъ случаямъ.,None
180,7,,,Пособія по разнымъ случаямъ.,239059
,,1,,На переѣзды и содержаніе въ училищахъ воспитывающихся въ Россіи южныхъ славянъ и на мелкія пособія имъ,37180
,,2,,Русскому Комитету для изслѣдованія средней и восточной Азіи и Императорскому Православному Палестинскому Обществу на содержаніе русскихъ учебныхъ заведеній въ Сиріи,158465
,,3,,Благотворительнымъ и учебнымъ заведеніямъ за границей,32900
,,4,,Прутской Смѣшанной Коммисіи,10514
,,,,МИНИСТЕРСТВО НАРОДНАГО ПРОСВѢЩЕНІЯ.,142736215
,,,,Гражданское управленіе.,None
,,,,Общіе расходы по управленію.,None
181,1,,,Содержаніе центральныхъ учрежденій.,784854
,,1,,Министръ Народнаго Просвѣщенія и его Товарищи,46290
,,2,,"Члены Совѣта Министра, Члены Ученаго Комитета и Канцелярія его, чиновники особыхъ порученій и причисленные, редакція «Журнала Министерства Народнаго Просвѣщенія» и Предсѣдатель постоянной коммисіи народныхъ чтеній",130845
,,3,,Департаментъ Народнаго Просвѣщенія:,146139
,,,,личный составъ,146139
,,4,,Отдѣлъ промышленныхъ училищъ:,61209
,,,,личный составъ,61209
,,5,,Департаментъ Общихъ Дѣлъ:,116929
,,,,личный составъ,116929
,,6,,Юрисконсультская часть:,8596
,,,,личный составъ,8596
,,7,,Управленіе пенсіонной кассы народныхъ учителей и учительницъ:,50361
,,,,личный составъ,50361
,,8,,Канцелярскіе и хозяйственные расходы центральнаго управленія,122640
,,9,,Содержаніе домовъ,16000
,,10,,Наемъ помѣщеній,13425
,,11,,Расходы по изданію «Журнала Министерства Народнаго Просвѣщенія» и «Извѣстій по народному образованію» вмѣстѣ съ «Справочной книгой по низшему образованію»,72420
182,2,,,Содержаніе мѣстныхъ учрежденій.,3755444
,,1,,Управленія учебныхъ округовъ и Управленія учебными заведеніями Сибири и Туркестана:,591211
,,,а, личный составъ,525581
,,,б, канцелярскіе и хозяйственные расходы,65630
,,2,,"Дирекціи народныхъ училищъ, инспекція училищъ г. Варшавы, учебныя дирекціи Варшавскаго учебнаго округа и дирекція русскихъ учебныхъ заведеній въ Финляндіи:",521329
,,,а, личный составъ,397029
,,,б, канцелярскіе и хозяйственные расходы,124300
,,3,,Инспекціи народныхъ училищъ:,2475174
,,,а, личный составъ,2052774
,,,б, канцелярскіе расходы,422400
,,4,,Училищные совѣты,130750
,,5,,Выдачи по мѣстнымъ привилегіямъ службы:,36980
,,,а, прибавочное жалованье,30730
,,,б, пособія на воспитаніе дѣтей,6250
183,3,,,Разные расходы администраціи.,218080
,,1,,Путевое довольствіе:,116080
,,,а," лицамъ, командируемымъ по дѣламъ службы и опредѣляемымъ къ должностямъ",68500
,,,б, на разъѣзды по округамъ,47580
,,2,,Награды и пособія,89000
,,3,,Пособія на воспитаніе дѣтей,13000
,,,,"Просвѣщеніе, науки и искусства.",None
184,4,,,Содержаніе ученыхъ учрежденій.,2577322
,,1,,Императорская Академія Наукъ:,1055388
,,,а, личный составъ,441135
,,,б, ученая часть,348112
,,,в, канцелярскіе и хозяйственные расходы,145134
,,,г, содержаніе академической типографій,121007
,,2,,"Астрономическія, физическія, магнитныя и метеорологическія обсерваторіи и станціи:",697620
,,,а, личный составъ,325153
,,,б, ученая часть,264824
,,,в, канцелярскіе и хозяйственные расходы,107643
,,3,,Императорская Публичная Библіотека:,243379
,,,а, личный составъ,94399
,,,б, расходы по пріобрѣтенію и содержанію книгъ и рукописей,87000
,,,в, канцелярскіе и хозяйственные расходы,61980
,,4,,Императорская Археографическая Коммисія:,29508
,,,а, личный составъ,7608
,,,б, изданія,20000
,,,в, канцелярскіе и хозяйственные расходы,1900
,,5,,Центральные архивы древнихъ актовъ въ Кіевѣ и Вильнѣ и состоящія при нихъ коммисіи для разбора древнихъ актовъ:,33940
,,,а, личный составъ,23484
,,,б, изданія,3716
,,,в, канцелярскіе и хозяйственные расходы,6740
,,6,,Императорокій С.-Петербургскій Археологическій Институтъ:,24735
,,,а, личный составъ,14035
,,,б," ученыя экскурсіи, изданія и пополненіе библіотеки",3200
,,,в, канцелярскіе и хозяйственные расходы,7500
,,7,,Археологическій Институтъ въ Константинополѣ:,26190
,,,а, личный составъ,12690
,,,б," ученыя экскурсіи, изданія, пополненіе библіотеки и музея",9000
,,,в, наемъ помѣщенія и хозяйственные расходы,4500
,,8,,Московскій Публичный и Румянцовскій музеи:,129310
,,,а, личный составъ,63230
,,,б, ученыя потребности,26000
,,,в, канцелярскіе и хозяйственные расходы,40080
,,9,,Императорскій Россійскій Историческій музей Имени Императора Александра III въ Москвѣ:,95823
,,,а, личный составъ,43000
,,,б, расходы по ученой части,17500
,,,в, канцелярскіе и хозяйственные расходы,35323
,,10,,Кавказскій Музей и Тифлисская Публичная Библіотека:,12781
,,,а, личный составъ,6101
,,,б, ученыя потребности,2200
,,,в, хозяйственные расходы,4480
,,11,,Императорскій Клиническій Институтъ Великой Княгини Елены Павловны:,135225
,,,а, личный составъ,55527
,,,б, учебно-вспомогательныя пособія и библіотека,10000
,,,в, хозяйственные расходы,69698
,,12,,Біологическія станціи:,28665
,,,а, личный составъ,13765
,,,б, ученыя потребности,8470
,,,в, хозяйственные расходы,6480
,,13,,Варшавскій ботаническій садъ:,14230
,,,а, личный составъ,2700
,,,б, хозяйственные расходы,11530
,,14,,Виленская Публичная Библіотека и Музей:,8528
,,,а, личный составъ,5528
,,,б, хозяйственные расходы,3000
,,15,,Коммисія по международному обмѣну изданій по части наукъ и художествъ,3000
,,16,,На уплату ст. сов. В. С. Голенищеву за пріобрѣтенное у него собраніе египетскихъ и восточныхъ древностей,24000
,,17,,Московскому Археологическому Институту въ пособіе на содержаніе,15000
185,5,,,Расходы на воспособленіе и поощреніе научныхъ трудовъ.,181817
,,1,,"Расходы на выдачу пособій ученымъ обществамъ и на ученыя предпріятія, изданія и командировки",168017
,,2,,На выдачу премій за лучшія учебныя руководства и за книги для народнаго чтенія,13800
186,6,,,Содержаніе высшихъ учебныхъ заведеній.,7651917
,,1,,Императорскіе университеты и Демидовскій Юридическій Лицей:,5259416
,,,а, личный составъ,2917359
,,,б, учебная часть,834864
,,,в," стипендіи и пособія студентамъ, содержаніе студенческихъ общежитій и столовыхъ",283040
,,,г, канцелярскіе и хозяйственные расходы,1224153
,,2,,Историко-филологическіе институты:,251830
,,,а, личный составъ,134267
,,,б, учебная часть,6000
,,,в, содержаніе воспитанниковъ и стипендіи,63884
,,,г, канцелярскіе и хозяйственные расходы,47679
,,3,,Императорскій Лицей въ память Цесаревича Николая въ Москвѣ:,36797
,,,а,личный составъ,34397
,,,г,канцелярскіе и хозяйственные расходы,2400
,,4,,Высшія техническія учебныя заведенія:,1321384
,,,а, личный составъ,665387
,,,б, учебная часть,277635
,,,в," стипендіи и пособія студентамъ, содержаніе студенческихъ общежитій и столовыхъ",90910
,,,г, канцелярскіе и хозяйственные расходы,287452
,,5,,Ветеринарные институты:,251677
,,,а, личный составъ,124853
,,,б, учебная часть,39669
,,,в," стипендіи и пособія студентамъ, содержаніе студенческихъ общежитій и столовыхъ",12620
,,,г, канцелярскіе и хозяйственные расходы,74535
,,6,,Институты восточныхъ языковъ:,126188
,,,а, личный составъ,80022
,,,б, учебная часть,12066
,,,в, содержаніе воспитанниковъ и стипендіи,24100
,,,г, канцелярскіе и хозяйственные расходы,10000
,,7,,"Пособія высшимъ учебнымъ заведеніямъ, содержимымъ за счетъ постороннихъ источниковъ:",325000
,,,а, Рижскому Политехническому Институту,95000
,,,б, Женскому Медицинскому Институту,218400
,,,в, высшимъ женскимъ курсамъ,11600
,,8,,Педагогическій Институтъ имени П. Г. Шелапутина въ Москвѣ:,79625
,,,а, личный составъ,29400
,,,б, Педагогическій музей съ библіотекой и кабинетомъ,3000
,,,в, стипендіи,36000
,,,г, канцелярскіе и хозяйственные расходы,11225
187,7,,,Содержаніе среднихъ учебныхъ заведеній.,31766997
,,1,,Мужскія гимназіи и прогимназіи:,10360184
,,,а, личный составъ,8384034
,,,б, учебная часть,106850
,,,в," содержаніе воспитанниковъ, стипендіи и пособія учащимся",501706
,,,г, канцелярскіе и хозяйственные расходы,1367594
,,2,,"Реальныя училища, среднія и низшія техническія училища:",7487902
,,,а, личный составъ,6053741
,,,б, учебная часть,230765
,,,в," содержаніе воспитанниковъ, стипендіи и пособія учащимся",156890
,,,г," канцелярскіе, хозяйственные и др. расходы",1046506
,,3,,"Женскія гимназіи и прогимназіи, Виленское высшее и Холмское 7-классное училища:",595168
,,,а, личный составъ,471099
,,,б, учебная часть,12900
,,,в," содержаніе воспитанницъ, стипендіи и пособія учащимся",52170
,,,г, хозяйственные и другіе расходы,58999
,,4,,"Учительскіе институты, семинаріи и школы:",4040626
,,,а, личный составъ,1659381
,,,б, учебная часть,126380
,,,в," содержаніе воспитанниковъ, стипендіи и пособія учащимся",1365840
,,,г, канцелярскіе и хозяйственные расходы,889025
,,5,,Особыя среднія учебныя заведенія (Варшавскій институтъ глухонѣмыхъ и слѣпыхъ):,59948
,,,а, личный составъ,37810
,,,б, учебная часть,1200
,,,в, содержаніе воспитанниковъ и воспитанницъ,13388
,,,г, канцелярскіе и хозяйственные расходы,7550
,,6,,"Пособія среднимъ учебнымъ заведеніямъ, содержимымъ на счетъ постороннихъ источниковъ:",1891833
,,,а, мужскимъ гимназіямъ и прогимназіямъ,197216
,,,б, реальнымъ и техническимъ училищамъ,152089
,,,в, женскимъ гимназіямъ и прогимназіямъ,1255323
,,,г, на содержаніе дворянскихъ пансіоновъ-пріютовъ и стипендіатовъ дворянства,187205
,,,д," пособія мужскимъ среднимъ учебнымъ заведеніямъ, преимущественно открываемымъ на мѣстныя средства",100000
,,7,,"Путевое довольствіе воспитанникамъ учебныхъ заведеній Кавказа, отправляемымъ въ учебныя заведенія Имперіи",1500
,,8,,"На расходы, предусмотрѣнные закономъ 10 мая 1912 г. и общими примѣчаніями къ новымъ штатамъ мужскихъ гимназій, прогимназій и реальныхъ училищъ",7329836
188,8,,,Содержаніе высшихъ народныхъ училищъ.,11043124
,,1,,Высшія начальныя и городскія училища:,9489515
,,,а, личный составъ,7098041
,,,б, хозяйственные и другіе расходы,2203797
,,,в, ремесленные классы,187677
,,2,,Маріинскія женскія училища:,77770
,,,а, личный составъ,54750
,,,б, хозяйственные и другіе расходы,23020
,,3,,"Ремесленныя училища, школы ремесленныхъ учениковъ и низшія ремесленныя школы:",1270925
,,,а, личный составъ,793439
,,,б," канцелярскіе, хозяйственные и другіе расходы",477486
,,4,,"Пособія высшимъ народнымъ училищамъ, содержимымъ за счетъ постороннихъ источниковъ:",204914
,,,а, общеобразовательнымъ,18849
,,,б, профессіональнымъ,185565
,,,в, особымъ (Казанское училище глухо-нѣмыхъ),500
189,9,,,Содержаніе начальныхъ народныхъ училищъ и другія мѣры содѣйствія начальному образованію.,56153096
,,1,,Содержаніе училищъ:,54598746
,,,а, приходскихъ,3166486
,,,б, начальныхъ,51175897
,,,в, ремесленныхъ отдѣленій и классовъ ручного труда,256363
,,2,,Расходы на общія нужды народнаго образованія,749840
,,3,,"Расходы, вызываемые мѣрами по внѣшкольному образованію:",804510
,,,а, педагогическіе музеи и школьныя библіотеки,106527
,,,б, пріобрѣтеніе учебныхъ пособій,7959
,,,в, занятія съ дѣтьми дошкольнаго возраста,32000
,,,г," воскресныя и вечернія занятія со взрослыми, курсы и народныя чтенія",78964
,,,д, съѣзды учащихъ и педагогическіе курсы,579060
190,10,,,"Расходы, относящіеся ко всѣмъ учебнымъ заведеніямъ вѣдомства.",2883800
,,1,,Прибавки къ содержанію учебнаго персонала,1750000
,,2,,Третное не въ зачетъ жалованье учителямъ,475000
,,3,,Выдачи по мѣстнымъ привилегіямъ службы:,658800
,,,а, путевыя пособія,106500
,,,б, прибавочное жалованье,500000
,,,в, пособія на воспитаніе дѣтей,52300
191,11,,,Расходы по подготовкѣ профессоровъ.,180000
,,1,,"На стипендіи лицамъ, оставляемымъ при университетахъ для приготовленія къ профессорской дѣятельности, а также командируемымъ съ этой цѣлью за границу",180000
192,12,—,,Расходы по подготовкѣ профессоровъ при Императорскихъ Россійскихъ университетахъ,100000
193,13,—,,На приготовленіе профессоровъ и преподавателей для высшихъ спеціальныхъ учебныхъ заведеній,40000
194,14,,,Расходы по подготовкѣ учителей.,276100
,,1,,На устройство одногодичныхъ и краткосрочныхъ курсовъ для подготовки учителей и учительницъ среднихъ учебныхъ заведеній и на выдачу стипендій,210000
,,2,,На командировки учителей съ ученой цѣлью за границу,4000
,,3,,На подготовку учителей спеціальныхъ предметовъ для реальныхъ и промышленныхъ училищ,15700
,,4,,На приготовленіе учителей восточныхъ языковъ и учителей рисованія,14000
,,5,,На подготовленіе учителей физическихъ упражненій для среднихъ учебныхъ заведеній,32400
195,15,,,Пособія на воспитаніе дѣтей.,72058
,,1,,Пособія на воспитаніе дѣтей въ опредѣленныхъ учебныхъ заведеніяхъ вѣдомства,55058
,,2,,Пособія на воспитаніе дѣтей служащихъ въ мѣстныхъ учрежденіяхъ Министерства,17000
,,,,"Постройка зданій и пріобрѣтеніе недвижимыхъ, имуществъ.",None
196,16,,,Сооруженіе зданій учебныхъ округовъ.,44775
,,,а,Новыя работы,44775
197,17,,,Сооруженіе зданій ученыхъ учрежденій.,1253946
,,,а, Новыя работы,900591
,,,б, Продолженіе начатыхъ работъ,353355
198,18,,,Сооруженіе зданій высшихъ учебныхъ заведеній Московскаго учебнаго округа.,123000
,,,а,Новыя работы,123000
199,19,,,Сооруженіе зданій высшихъ учебныхъ заведеній С.-Петербургскаго учебнаго округа.,121946
,,,а, Новыя работы,121946
200,20,,,Сооруженіе зданій высшихъ учебныхъ заведеній Варшавскаго учебнаго округа.,20000
,,,б, Продолженіе начатыхъ работъ,20000
201,21,,,Сооруженіе зданій высшихъ учебныхъ заведеній Казанскаго учебнаго округа.,693044
,,,а, Новыя работы,25068
,,,б, Продолженіе начатыхъ работъ,667976
202,22,,,Сооруженіе зданій высшихъ учебныхъ заведеній Западно-Сибирскаго учебнаго округа.,202967
,,,а, Новыя работы,152967
,,,б, Продолженіе начатыхъ работъ,50000
203,23,,,Сооруженіе зданій высшихъ учебныхъ заведеній Кіевскаго учебнаго округа.,220926
,,,а, Новыя работы,70926
,,,б, Продолженіе начатыхъ работъ,150000
204,24,,,Сооруженіе зданій высшихъ учебныхъ заведеній Одесскаго учебнаго округа.,25912
,,,а,Новыя работы,25912
205,25,,,Сооруженіе зданій высшихъ учебныхъ заведеній Харьковскаго учебнаго округа.,433362
,,,а, Новыя работы,165362
,,,б, Продолженіе начатыхъ работъ,268000
206,26,,,Сооруженіе зданій высшихъ учебныхъ заведеній Рижскаго учебнаго округа.,299086
,,,а, Новыя работы,99086
,,,б, Продолженiе начатыхъ работъ,200000
207,27,,,Сооруженіе зданій среднихъ учебныхъ заведеній въ г. С.-Петербургѣ.,420195
,,,а, Новыя работы,180000
,,,б, Продолженіе начатыхъ работъ,240195
208,28,,,"Сооруженіе зданій среднихъ учебныхъ заведеній, находящихся въ прочихъ мѣстностяхъ С.-Петербургскаго учебнаго округа.",380679
,,,а, Новыя работы,247476
,,,б, Продолженіе начатыхъ работъ,133203
209,29,,,Сооруженіе зданій среднихъ учебныхъ заведеній прочихъ округовъ.,2416116
,,,а, Новыя работы,1311811
,,,б, Продолженіе начатыхъ работъ,1104305
210,30,,,Сооруженіе зданій низшихъ учебныхъ заведеній.,1344046
,,,а, Новыя работы,900409
