part,chapter,article,name,summ
,,3,Взысканія за нарушеніе постановленій объ акцизѣ съ папиросныхъ бумаги и гильзъ,30000
,7,,Сахарный доходъ.,128430000
,,1,Акцизъ съ сахара,127750000
,,2,Патентный сборъ,675000
,,3,Взысканія за нарушеніе постановпеній объ акцизѣ съ сахара,5000
,8,,Нефтяной доходъ.,45035500
,,1,Акцизъ съ нефтяныхъ продуктовъ,45000000
,,2,Сборъ съ нефтепромышленниковъ за сдачу нефтяныхъ продуктовъ подъ охрану акцизнаго надзора .,35000
,,3,Взысканія за нарушеніе постановленій объ акцизѣ съ нефтяныхъ продуктовъ,500
,9,,Спичечный доходъ.,19014600
,,1,Акцизъ со спичекъ,19000000
,,2,Патентный сборъ,14000
,,3,Взысканія за нарушеніе постановленій объ акцизѣ со спичекъ,600
,10,,Таможенный доходъ.,—
,,1,Пошлины съ привозныхъ товаровъ,—
,,2,Пошлины съ отпускныхъ товаровъ,—
,,3,"Денежныя взысканія, штрафы и пени по разнымъ случаямъ",—
,,4,"Слѣдующая въ пользу казны часть суммы, выручаемой отъ продажи конфискованныхъ товаровъ и лошадей, а также отъ взыскиваемой пени съ тайнопровозителей.",—
,,5,"Прибыль отъ переоцѣнки по дѣйствительному паритету иностранной монеты, поступившей въ таможенныя пошлины",—
,,,Департаментъ Таможенныхъ Сборовъ.,325000000
,4,,Сборы съ питей.,—
,,1,Акцизъ съ напитковъ и дрожжей,—
,,2,Патентный сборъ,—
,,3,Взысканія за нарушеніе постановленій о питейномъ сборѣ,—
,,4,"Взысканія за истребленіе или порчу контрольныхъ снарядовъ, автоматическихъ вѣсовъ и проч",—
,,5,"Сборъ на содержаніе акцизнаго надзора съ уксусныхъ и другихъ заводовъ, пользующихся безакцизнымъ спиртомъ",—
,5,,Табачный доходъ.,—
,,1,Акцизъ съ табака,—
,,2,Патентный сборъ,—
,,3,Взысканія за нарушеніе постановленій о табачномъ сборѣ,—
,6,,Доходъ съ папиросныхъ гильзъ и разрѣзанной папиросной бумаги.,—
,,1,Акцизъ съ папиросныхъ бумаги и гильзъ,—
,,2,Патентный сборъ,—
,,3,Взысканія за нарушеніе постановленій объ акцизѣ съ папиросныхъ бумаги и гильзъ,—
,7,,Сахарный доходъ.,—
,,1,Акцизъ съ сахара,—
,,2,Патентный сборъ,—
,,3,Взысканія за нарушеніе постановпеній объ акцизѣ съ сахара,—
,8,,Нефтяной доходъ.,—
,,1,Акцизъ съ нефтяныхъ продуктовъ,—
,,2,Сборъ съ нефтепромышленниковъ за сдачу нефтяныхъ продуктовъ подъ охрану акцизнаго надзора .,—
,,3,Взысканія за нарушеніе постановленій объ акцизѣ съ нефтяныхъ продуктовъ,—
,9,,Спичечный доходъ.,—
,,1,Акцизъ со спичекъ,—
,,2,Патентный сборъ,—
,,3,Взысканія за нарушеніе постановленій объ акцизѣ со спичекъ,—
,10,,Таможенный доходъ.,325000000
,,1,Пошлины съ привозныхъ товаровъ,323970000
,,2,Пошлины съ отпускныхъ товаровъ,350000
,,3,"Денежныя взысканія, штрафы и пени по разнымъ случаямъ",400000
,,4,"Слѣдующая въ пользу казны часть суммы, выручаемой отъ продажи конфискованныхъ товаровъ и лошадей, а также отъ взыскиваемой пени съ тайнопровозителей.",260000
,,5,"Прибыль отъ переоцѣнки по дѣйствительному паритету иностранной монеты, поступившей въ таможенныя пошлины",20000
3,,,Пошлины,191847376
,,,Министерство Внутреннихъ Дѣлъ по общей части.,710700
,11,,"Гербовыя, судебныя, канцелярскія и съ записи документовъ.",40000
,,1,Гербовый сборъ,—
,,2,"Судебныя пошлины и сборъ съ бумаги по дѣламъ, производящимся въ судебныхъ установленіяхъ",—
,,3,Канцелярская актовая трехрублевая пошлина,—
,,4,Канцелярскіе пошлины и сборы за составленіе и выдачу разныхъ документовъ,40000
,,5,Съ маклерскихъ и нотаріальныхъ книгъ,—
,,6,"Съ межевыхъ плановъ и книгъ, за чертежныя и полевыя работы.",—
,,7,Сборы за патенты на торговыя суда и ластовые,—
